Cattle,Calves,Pigs,Sheep/Lamb,,,,,,,,,,,,
"30,578,200.0","487,700","118,219,900","2,237,900.0",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,thousands,,,,,,,,,,,,,,
,lamb/yearlings,mature sheep,,,,,,,,,,,,,
,187.2,9.8,197.0,,,,,,,,,,,,
,176.9,10.0,186.9,,,,,,,,,,,,
,171.4,10.2,181.6,,,,,,,,,,,,
,182.7,11.3,194.0,,,,,,,,,,,,
,181.7,11.7,193.4,,,,,,,,,,,,
,161.4,8.8,170.2,,,,,,,,,,,,
,184.4,11.5,195.9,,,,,,,,,,,,
,174.6,11.1,185.7,,,,,,,,,,,,
,179.5,10.3,189.8,,,,,,,,,,,,
,197.4,9.1,206.5,,,,,,,,,,,,
,167.5,8.6,176.1,,,,,,,,,,,,
,153.0,7.8,160.8,,,,,,,,,,,,
,"2,117.7",120.2,,,,,,,,,,,,,
0.005558268,2117700,120200,2237900,,,,,,,,,,,,
,0.946288932,0.053711068,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
average carcass weight of lamb:,72,100,73.50390992,,,,,,,,,,,,
,Got above by dividing the total carcass weight in millions of pounds by the total number of lamb killed in millions,,,,,,,,,,,,,,